"","rules","support","confidence","coverage","lift","count"
"1","{} => {Drink=high_risk}",0.111245049078698,0.111245049078698,1,1,646
"2","{Exercise=Yes} => {Drink=high_risk}",0.0260030997072499,0.123064384678077,0.211296710866196,1.10624594709844,151
"3","{High_blood_pressure=danger} => {Drink=high_risk}",0.0340967797485793,0.130348913759052,0.261580850697434,1.17172777430157,198
"4","{High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0411572240399518,0.144410876132931,0.285000861029792,1.29813306146119,239
"5","{Age=[44,62)} => {Drink=high_risk}",0.0475288444980196,0.146730462519936,0.323919407611503,1.31898420410723,276
"6","{Age=[19,44)} => {Drink=high_risk}",0.0442569312898226,0.135691657866948,0.326158085069743,1.21975457776063,257
"7","{X=[1.94e+03,3.87e+03)} => {Drink=high_risk}",0.0384019287067333,0.115245478036176,0.333218529361116,1.0359605123159,223
"8","{X=[1,1.94e+03)} => {Drink=high_risk}",0.0394351644566902,0.118285123966942,0.333390735319442,1.06328438835299,229
"9","{X=[3.87e+03,5.81e+03]} => {Drink=high_risk}",0.0334079559152747,0.100206611570248,0.333390735319442,0.900773673975897,194
"10","{Walking=Yes} => {Drink=high_risk}",0.0399517823316687,0.110318592486923,0.36214913035991,0.991671929677344,232
"11","{Sex=male} => {Drink=high_risk}",0.0859307732047529,0.192070823710547,0.447391079731359,1.72655615059929,499
"12","{Walking=No} => {Drink=high_risk}",0.0712932667470294,0.111771058315335,0.63785086964009,1.00472838333924,414
"13","{Exercise=No} => {Drink=high_risk}",0.0852419493714483,0.108078602620087,0.788703289133804,0.971536293211838,495
"14","{Smoke=[0,50]} => {Drink=high_risk}",0.111245049078698,0.111245049078698,1,1,646
"15","{Exercise=Yes,High_blood_pressure=danger} => {Drink=high_risk}",0.00654382641639401,0.109510086455331,0.0597554675391768,0.984404136294287,38
"16","{Exercise=Yes,High_blood_pressure=diagnosed} => {Drink=high_risk}",0.00895470983296022,0.185714285714286,0.0482176683313243,1.66941618752764,52
"17","{Age=[44,62),Exercise=Yes} => {Drink=high_risk}",0.0094713277079387,0.151098901098901,0.0626829688307216,1.35825281529616,55
"18","{Age=[19,44),Exercise=Yes} => {Drink=high_risk}",0.0111933872912003,0.13265306122449,0.0843809195798175,1.19244013394832,65
"19","{X=[1.94e+03,3.87e+03),Exercise=Yes} => {Drink=high_risk}",0.00843809195798175,0.115294117647059,0.0731875322886172,1.03639774175924,49
"20","{X=[1,1.94e+03),Exercise=Yes} => {Drink=high_risk}",0.00843809195798175,0.110609480812641,0.076287239538488,0.994286772568122,49
"21","{X=[3.87e+03,5.81e+03],Exercise=Yes} => {Drink=high_risk}",0.00912691579128638,0.147632311977716,0.0618219390390908,1.3270910768647,53
"22","{Age=[62,80],Exercise=Yes} => {Drink=high_risk}",0.0053383847081109,0.0831099195710456,0.064232822455657,0.747088704255513,31
"23","{Walking=Yes,Exercise=Yes} => {Drink=high_risk}",0.0144653004993973,0.127853881278539,0.113139314620286,1.14929951793262,84
"24","{Sex=male,Exercise=Yes} => {Drink=high_risk}",0.0218701567074221,0.165364583333333,0.132254175994489,1.48648937371001,127
"25","{Exercise=Yes,High_blood_pressure=normal} => {Drink=high_risk}",0.0105045634578956,0.101666666666667,0.103323574995695,0.91389834881321,61
"26","{Walking=No,Exercise=Yes} => {Drink=high_risk}",0.0115377992078526,0.117543859649123,0.0981573962459101,1.05662104176851,67
"27","{Smoke=[0,50],Exercise=Yes} => {Drink=high_risk}",0.0260030997072499,0.123064384678077,0.211296710866196,1.10624594709844,151
"28","{Age=[44,62),High_blood_pressure=danger} => {Drink=high_risk}",0.0146375064577234,0.158878504672897,0.0921301877044946,1.42818494835219,85
"29","{Age=[19,44),High_blood_pressure=danger} => {Drink=high_risk}",0.0156707422076804,0.175,0.0895470983296022,1.57310371517028,91
"30","{X=[1.94e+03,3.87e+03),High_blood_pressure=danger} => {Drink=high_risk}",0.0101601515412433,0.118951612903226,0.0854141553297744,1.06927556676321,59
"31","{X=[1,1.94e+03),High_blood_pressure=danger} => {Drink=high_risk}",0.0115377992078526,0.139583333333333,0.0826588599965559,1.2547374871001,67
"32","{X=[3.87e+03,5.81e+03],High_blood_pressure=danger} => {Drink=high_risk}",0.0123988289994834,0.132596685082873,0.0935078353711038,1.19193335956075,72
"33","{Walking=Yes,High_blood_pressure=danger} => {Drink=high_risk}",0.013087652832788,0.130360205831904,0.10039607370415,1.17182928059732,76
"34","{Sex=male,High_blood_pressure=danger} => {Drink=high_risk}",0.0284139831238161,0.20048602673147,0.141725503702428,1.80220179137716,165
"35","{Walking=No,High_blood_pressure=danger} => {Drink=high_risk}",0.0210091269157913,0.13034188034188,0.161184776993284,1.17166454976053,122
"36","{Exercise=No,High_blood_pressure=danger} => {Drink=high_risk}",0.0275529533321853,0.136518771331058,0.201825383158257,1.22718963640782,160
"37","{Smoke=[0,50],High_blood_pressure=danger} => {Drink=high_risk}",0.0340967797485793,0.130348913759052,0.261580850697434,1.17172777430157,198
"38","{Age=[44,62),High_blood_pressure=diagnosed} => {Drink=high_risk}",0.020664714999139,0.228136882129278,0.0905803340795591,2.05075986768532,120
"39","{Age=[19,44),High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0094713277079387,0.339506172839506,0.0278973652488376,3.05187669609754,55
"40","{X=[1.94e+03,3.87e+03),High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0165317719993112,0.173285198555957,0.0954021009126916,1.55768908361368,96
"41","{X=[1,1.94e+03),High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0132598587911142,0.149805447470817,0.0885138625796452,1.34662574839479,77
"42","{X=[3.87e+03,5.81e+03],High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0113655932495264,0.112436115843271,0.101084897537455,1.01070669458494,66
"43","{Walking=Yes,High_blood_pressure=diagnosed} => {Drink=high_risk}",0.013087652832788,0.136690647482014,0.0957465128293439,1.22873465933136,76
"44","{Sex=male,High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0363354572068194,0.25544794188862,0.142242121577407,2.29626346524337,211
"45","{Walking=No,High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0280695712071638,0.148316651501365,0.189254348200448,1.33324271713379,163
"46","{Exercise=No,High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0322025142069916,0.136,0.236783192698467,1.22252631578947,187
"47","{Smoke=[0,50],High_blood_pressure=diagnosed} => {Drink=high_risk}",0.0411572240399518,0.144410876132931,0.285000861029792,1.29813306146119,239
"48","{X=[1.94e+03,3.87e+03),Age=[44,62)} => {Drink=high_risk}",0.0158429481660065,0.141538461538462,0.111933872912003,1.27231245534651,92
"49","{X=[1,1.94e+03),Age=[44,62)} => {Drink=high_risk}",0.0167039779576373,0.149922720247295,0.111417255037024,1.34767993262545,97
"50","{X=[3.87e+03,5.81e+03],Age=[44,62)} => {Drink=high_risk}",0.0149819183743758,0.148972602739726,0.100568279662476,1.33913917044828,87
"51","{Age=[44,62),Walking=Yes} => {Drink=high_risk}",0.0172205958326158,0.147710487444609,0.116583433786809,1.32779380896415,100
"52","{Age=[44,62),Sex=male} => {Drink=high_risk}",0.0384019287067333,0.262352941176471,0.146375064577234,2.35833363686032,223
"53","{Age=[44,62),High_blood_pressure=normal} => {Drink=high_risk}",0.0122266230411572,0.0865853658536585,0.14120888582745,0.778330061164389,71
"54","{Age=[44,62),Walking=No} => {Drink=high_risk}",0.0303082486654038,0.146179401993355,0.207335973824694,1.3140306306121,176
"55","{Age=[44,62),Exercise=No} => {Drink=high_risk}",0.0380575167900809,0.145682267633487,0.261236438780782,1.30956180827811,221
"56","{Age=[44,62),Smoke=[0,50]} => {Drink=high_risk}",0.0475288444980196,0.146730462519936,0.323919407611503,1.31898420410723,276
"57","{X=[1.94e+03,3.87e+03),Age=[19,44)} => {Drink=high_risk}",0.0161873600826589,0.136627906976744,0.118477699328397,1.2281706746346,94
"58","{X=[1,1.94e+03),Age=[19,44)} => {Drink=high_risk}",0.0168761839159635,0.142857142857143,0.118133287411744,1.28416629809819,98
"59","{X=[3.87e+03,5.81e+03],Age=[19,44)} => {Drink=high_risk}",0.0111933872912003,0.125,0.0895470983296022,1.12364551083591,65
"60","{Age=[19,44),Walking=Yes} => {Drink=high_risk}",0.0170483898742897,0.139633286318759,0.122094024453246,1.25518652268271,99
"61","{Age=[19,44),Sex=male} => {Drink=high_risk}",0.0291028069571207,0.193807339449541,0.15016359566041,1.74216597551623,169
"62","{Age=[19,44),High_blood_pressure=normal} => {Drink=high_risk}",0.0191148613742035,0.0915841584158416,0.208713621491304,0.823265027741164,111
"63","{Age=[19,44),Sex=female} => {Drink=high_risk}",0.0151541243327019,0.086105675146771,0.175994489409334,0.774018042689318,88
"64","{Age=[19,44),Walking=No} => {Drink=high_risk}",0.027208541415533,0.133333333333333,0.204064060616497,1.19855521155831,158
"65","{Age=[19,44),Exercise=No} => {Drink=high_risk}",0.0330635439986224,0.136752136752137,0.241777165489926,1.22928739647006,192
"66","{Age=[19,44),Smoke=[0,50]} => {Drink=high_risk}",0.0442569312898226,0.135691657866948,0.326158085069743,1.21975457776063,257
"67","{X=[1.94e+03,3.87e+03),Walking=Yes} => {Drink=high_risk}",0.0132598587911142,0.115615615615616,0.114689168245221,1.03928773975214,77
"68","{X=[1.94e+03,3.87e+03),Sex=male} => {Drink=high_risk}",0.0291028069571207,0.193142857142857,0.150680213535388,1.73619283502875,169
"69","{X=[1.94e+03,3.87e+03),Walking=No} => {Drink=high_risk}",0.0251420699156191,0.1150512214342,0.218529361115895,1.03421430784582,146
"70","{X=[1.94e+03,3.87e+03),Exercise=No} => {Drink=high_risk}",0.0299638367487515,0.11523178807947,0.260030997072499,1.03583745104874,174
"71","{X=[1.94e+03,3.87e+03),Smoke=[0,50]} => {Drink=high_risk}",0.0384019287067333,0.115245478036176,0.333218529361116,1.0359605123159,223
"72","{X=[1,1.94e+03),Walking=Yes} => {Drink=high_risk}",0.0148097124160496,0.103739445114596,0.142758739452385,0.932530894396994,86
"73","{X=[1,1.94e+03),Sex=male} => {Drink=high_risk}",0.029447218873773,0.201176470588235,0.146375064577234,1.80840830449827,171
"74","{X=[1,1.94e+03),High_blood_pressure=normal} => {Drink=high_risk}",0.0146375064577234,0.0902335456475584,0.162218012743241,0.811124147949492,85
"75","{X=[1,1.94e+03),Walking=No} => {Drink=high_risk}",0.0246254520406406,0.129177958446251,0.190631995867057,1.16120186485663,143
