측정소명,오존농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
강남구,0.042,17,8
강남대로,0.026,29,11
강동구,0.034,16,8
강변북로,0.022,23,9
강북구,0.036,17,7
강서구,0.035,19,7
공항대로,0.031,27,10
관악구,0.035,18,8
관악산,0.046,18,8
광진구,0.034,19,8
구로구,0.037,21,9
금천구,0.035,17,7
남산,0.042,18,8
노원구,0.041,14,8
도봉구,0.036,14,7
도산대로,0.033,24,10
동대문구,0.04,19,8
동작구,0.039,18,12
동작대로,0.031,27,11
마포구,0.037,16,7
마포아트센터,0.046,20,7
북한산,0.033,14,8
서대문구,0.025,19,7
서울숲,0.033,22,9
서초구,0.036,17,9
성동구,0.04,20,9
성북구,0.034,23,10
세곡,0.029,25,8
송파구,0.036,22,9
시흥대로,0.029,21,11
신촌로,0.027,30,9
양천구,0.032,17,8
영등포구,0.033,18,8
영등포로,0.027,24,9
올림픽공원,0.032,21,12
용산구,0.043,22,11
은평구,0.032,24,13
자연사박물관,0.041,21,8
정릉로,0.029,26,11
종로,0.029,21,8
종로구,0.037,16,9
중구,0.036,13,9
중랑구,0.037,19,8
천호대로,0.03,28,10
청계천로,0.03,22,8
한강대로,0.018,39,14
항동,0.025,19,6
행주,0.03,15,5
홍릉로,0.029,28,9
화랑로,0.033,29,10
강남구,0.04,24,12
강남대로,0.026,27,12
강동구,0.035,25,11
강변북로,0.021,29,13
강북구,0.046,22,12
강서구,0.039,27,14
공항대로,0.03,31,17
관악구,0.038,27,14
관악산,0.061,16,9
광진구,0.033,25,12
구로구,0.039,32,15
금천구,0.038,22,11
남산,0.048,22,11
노원구,0.043,23,14
도봉구,0.042,20,11
도산대로,0.033,31,13
동대문구,0.044,26,12
동작구,0.046,21,13
동작대로,0.033,31,13
마포구,0.037,25,13
마포아트센터,0.046,28,12
북한산,0.049,15,8
서대문구,0.028,22,10
서울숲,0.037,34,10
서초구,0.037,28,11
성동구,0.041,28,13
성북구,0.036,25,12
세곡,0.037,25,11
송파구,0.037,27,13
시흥대로,0.043,29,13
신촌로,0.025,37,16
양천구,0.038,26,13
영등포구,0.037,25,15
영등포로,0.029,30,15
올림픽공원,0.037,23,13
용산구,0.045,26,15
은평구,0.039,27,16
자연사박물관,0.045,23,10
정릉로,0.029,28,13
종로,0.032,26,13
종로구,0.042,23,14
중구,0.038,21,14
중랑구,0.043,25,12
천호대로,0.031,33,12
청계천로,0.034,31,13
한강대로,0.017,51,22
항동,0.03,28,11
행주,0.032,24,9
홍릉로,0.033,28,15
화랑로,0.03,27,13
강남구,0.051,30,16
강남대로,0.029,38,20
강동구,0.044,33,17
강변북로,0.024,40,20
강북구,0.052,35,19
강서구,0.045,33,17
공항대로,0.035,38,19
관악구,0.046,30,17
관악산,0.066,25,13
광진구,0.041,32,17
구로구,0.046,38,19
금천구,0.045,27,14
남산,0.056,33,17
노원구,0.042,36,22
도봉구,0.051,36,19
도산대로,0.041,38,21
동대문구,0.054,35,16
동작구,0.05,29,18
동작대로,0.037,37,18
마포구,0.046,30,15
마포아트센터,0.057,35,16
북한산,0.054,25,13
서대문구,0.039,36,19
서울숲,0.044,51,19
서초구,0.046,33,16
성동구,0.049,35,18
성북구,0.04,42,20
세곡,0.037,37,18
송파구,0.04,34,18
시흥대로,0.031,36,22
신촌로,0.031,44,21
양천구,0.043,31,18
영등포구,0.044,28,17
영등포로,0.034,34,18
올림픽공원,0.047,34,21
용산구,0.053,32,19
은평구,0.044,41,25
자연사박물관,0.052,33,21
정릉로,0.034,38,20
종로,0.038,35,18
종로구,0.049,31,19
중구,0.047,29,19
중랑구,0.05,35,17
천호대로,0.041,38,16
청계천로,0.034,39,20
한강대로,0.021,55,22
항동,0.033,31,17
행주,0.036,35,17
홍릉로,0.04,39,20
화랑로,0.037,36,22
강남구,0.074,63,39
강남대로,0.055,72,45
강동구,0.069,64,39
강변북로,0.047,78,45
강북구,0.072,71,43
강서구,0.075,70,43
공항대로,0.068,71,44
관악구,0.071,65,41
관악산,0.1,76,47
광진구,0.068,63,39
구로구,0.076,80,46
금천구,0.069,60,37
남산,0.088,72,44
노원구,0.075,65,42
도봉구,0.08,71,43
도산대로,0.068,82,51
동대문구,0.078,71,39
동작구,0.071,63,41
동작대로,0.061,69,38
마포구,0.075,63,37
마포아트센터,0.095,80,43
북한산,0.07,68,46
서대문구,0.083,74,48
서울숲,0.076,80,43
서초구,0.073,72,46
성동구,0.074,67,38
성북구,0.068,84,47
세곡,0.068,73,44
송파구,0.063,66,38
시흥대로,0.055,70,45
신촌로,0.06,86,50
양천구,0.071,65,42
영등포구,0.069,61,43
영등포로,0.06,68,42
올림픽공원,0.076,71,48
용산구,0.078,67,46
은평구,0.073,87,56
자연사박물관,0.085,73,50
정릉로,0.06,71,44
종로,0.051,69,38
종로구,0.075,64,42
중구,0.075,62,44
중랑구,0.072,64,37
천호대로,0.062,70,37
청계천로,0.059,70,44
한강대로,0.04,96,47
항동,0.065,67,45
행주,0.064,66,36
홍릉로,0.063,70,43
화랑로,0.068,62,41
강남구,0.06,38,23
강남대로,0.048,41,25
강동구,0.056,40,25
강변북로,0.042,45,26
강북구,0.058,42,26
강서구,0.058,38,20
공항대로,0.054,39,23
관악구,0.053,36,23
관악산,0.068,38,22
광진구,0.054,39,24
구로구,0.058,41,22
금천구,0.054,34,20
남산,0.067,38,24
노원구,0.063,41,27
도봉구,0.064,43,25
도산대로,0.054,44,27
동대문구,0.061,42,23
동작구,0.057,37,24
동작대로,0.052,39,21
마포구,0.056,36,19
마포아트센터,0.072,39,21
북한산,0.057,40,28
서대문구,0.064,41,24
서울숲,0.06,61,24
서초구,0.058,36,23
성동구,0.059,41,22
성북구,0.053,48,29
세곡,0.057,45,27
송파구,0.053,41,24
시흥대로,0.049,36,24
신촌로,0.047,47,24
양천구,0.054,35,22
영등포구,0.053,34,23
영등포로,0.048,39,22
올림픽공원,0.06,43,28
용산구,0.064,39,27
은평구,0.057,43,32
자연사박물관,0.064,40,25
정릉로,0.049,42,26
종로,0.046,38,21
종로구,0.06,36,24
중구,0.058,33,24
중랑구,0.057,41,25
천호대로,0.054,41,22
청계천로,0.05,40,23
한강대로,0.034,49,24
항동,0.052,34,19
행주,0.049,34,18
홍릉로,0.05,43,26
화랑로,0.058,48,31
강남구,0.047,32,19
강남대로,0.031,36,21
강동구,0.042,34,20
강변북로,0.028,39,20
강북구,0.048,38,24
강서구,0.041,37,20
공항대로,0.033,41,22
관악구,0.037,33,18
관악산,0.056,29,17
광진구,0.04,33,20
구로구,0.045,35,21
금천구,0.037,28,16
남산,0.051,32,18
노원구,0.049,37,26
도봉구,0.052,35,21
도산대로,0.041,40,23
동대문구,0.041,39,20
동작구,0.045,32,20
동작대로,0.037,38,20
마포구,0.039,34,19
마포아트센터,0.054,37,18
북한산,0.047,33,22
서대문구,0.046,38,22
서울숲,0.042,51,19
서초구,0.044,33,19
성동구,0.044,38,17
성북구,0.039,44,26
세곡,0.04,37,20
송파구,0.04,37,20
시흥대로,0.035,33,19
신촌로,0.029,49,28
양천구,0.041,32,20
영등포구,0.039,30,20
영등포로,0.033,36,19
올림픽공원,0.045,34,23
용산구,0.047,34,22
은평구,0.041,40,30
자연사박물관,0.047,37,26
정릉로,0.033,41,25
종로,0.032,38,20
종로구,0.044,35,23
중구,0.042,34,23
중랑구,0.039,35,21
천호대로,0.04,44,19
청계천로,0.033,41,22
한강대로,0.021,52,24
항동,0.039,27,15
행주,0.038,30,15
홍릉로,0.033,40,24
화랑로,0.035,45,31
강남구,0.056,35,21
강남대로,0.032,40,21
강동구,0.045,35,21
강변북로,0.029,38,20
강북구,0.057,37,23
강서구,0.058,39,21
공항대로,0.052,41,24
관악구,0.054,35,21
관악산,0.07,33,21
광진구,0.044,36,21
구로구,0.056,37,18
금천구,0.054,33,20
남산,0.068,29,17
노원구,0.055,36,25
도봉구,0.057,34,19
도산대로,0.043,42,22
동대문구,0.062,36,21
동작구,0.055,34,23
동작대로,0.041,44,23
마포구,0.058,33,19
마포아트센터,0.068,34,17
북한산,0.054,27,19
서대문구,0.06,32,17
서울숲,0.049,41,18
서초구,0.052,39,19
성동구,0.053,38,19
성북구,0.046,39,22
세곡,0.044,37,21
송파구,0.046,38,23
시흥대로,0.042,39,24
신촌로,0.041,38,21
양천구,0.052,34,22
영등포구,0.055,33,22
영등포로,0.043,37,21
올림픽공원,0.048,35,22
용산구,0.056,36,24
은평구,0.054,42,25
