측정소명,미세먼지(㎍/㎥),오존(ppm),일산화탄소농도(ppm),초미세먼지(㎍/㎥)
중구,29,0.02,0.4,13
종로구,28,0.022,0.4,12
용산구,34,0.014,0.4,10
은평구,26,0.023,0.5,10
서대문구,20,0.02,0.5,10
마포구,23,0.015,0.4,9
광진구,24,0.013,0.5,12
성동구,22,0.02,0.4,12
중랑구,24,0.015,0.5,10
동대문구,21,0.019,0.4,12
성북구,23,0.015,0.7,9
도봉구,20,0.022,0.3,11
강북구,30,0.02,0.4,12
노원구,27,0.021,0.4,14
강서구,27,0.019,0.3,10
구로구,27,0.017,0.4,5
영등포구,23,0.015,0.5,10
동작구,30,0.016,0.4,13
관악구,22,0.014,0.4,9
금천구,29,0.016,0.5,13
양천구,29,0.015,0.5,12
강남구,21,0.019,0.4,11
서초구,25,0.018,0.3,8
송파구,24,0.017,0.5,12
강동구,28,0.017,0.4,15
중구,38,0.022,0.4,13
종로구,39,0.023,0.4,15
용산구,44,0.017,0.3,11
은평구,37,0.024,0.5,12
서대문구,29,0.022,0.4,12
마포구,28,0.018,0.4,10
광진구,32,0.017,0.4,14
성동구,30,0.022,0.3,14
중랑구,32,0.019,0.4,13
동대문구,30,0.022,0.4,15
성북구,34,0.02,0.6,11
도봉구,30,0.026,0.3,12
강북구,43,0.022,0.3,15
노원구,38,0.026,0.4,16
강서구,31,0.024,0.2,12
구로구,33,0.023,0.3,7
영등포구,27,0.019,0.4,11
동작구,36,0.021,0.3,14
관악구,26,0.019,0.4,10
금천구,34,0.021,0.4,15
양천구,33,0.019,0.4,13
강남구,29,0.02,0.4,14
서초구,38,0.021,0.2,10
송파구,31,0.021,0.4,13
강동구,38,0.022,0.4,17
중구,78,0.012,0.8,49
종로구,69,0.011,0.9,46
용산구,74,0.006,0.7,44
은평구,65,0.013,0.8,46
서대문구,57,0.011,1,50
마포구,61,0.009,0.8,50
광진구,60,0.008,0.9,44
성동구,60,0.011,0.9,44
중랑구,64,0.011,0.9,39
동대문구,60,0.011,0.9,49
성북구,65,0.01,1,43
도봉구,62,0.015,0.7,49
강북구,68,0.014,0.7,44
노원구,70,0.015,0.8,50
강서구,80,0.013,0.5,50
구로구,73,0.011,0.6,54
영등포구,68,0.009,0.9,55
동작구,68,0.011,0.7,49
관악구,60,0.008,0.9,42
금천구,70,0.01,0.8,50
양천구,77,0.01,0.8,54
강남구,60,0.008,0.9,51
서초구,76,0.011,0.6,54
송파구,61,0.008,0.9,48
강동구,68,0.012,0.7,50
중구,73,0.009,0.9,46
종로구,66,0.009,0.9,44
용산구,52,0.007,0.7,35
